Mes;Clasificación;Stock_Actual;Proy_Mensual
jul-26;C12-29;0.0;0.0
jul-26;C12-30;0.0;0.0
jul-26;C12-30H;0.0;0.0
jul-26;C12-31;1.659858;0.0
jul-26;C12-35.3;0.0;0.0
jul-26;C13.6-25;27.354695;3.45
jul-26;C13.6-30;9.759353;2.16
jul-26;C14-22;48.038623;0.0
jul-26;C14-24;0.0;0.0
jul-26;C14-25;10.559404;7.67
jul-26;C14-25.5;0.015013;0.0
jul-26;C14-25H;0.027574;0.0
jul-26;C14-26;0.0;0.0
jul-26;C14-29;27.513144;0.0
jul-26;C14-30;0.0;0.0
jul-26;C14-30H;0.0;0.0
jul-26;C14-37;0.0;0.0
jul-26;C16.3-25;12.656867;0.0
jul-26;C16.3-27;0.418496;0.0
jul-26;C16.3-28.5;11.483721;0.0
jul-26;C16.3-29;0.0;0.0
jul-26;C16.3-35.5;0.840214;0.0
jul-26;C16-22;0.301512;0.0
jul-26;C16-25;14.988523;24.26
jul-26;C16-25H;0.159995;0.0
jul-26;C16-27;13.299324;4.32
jul-26;C16-29;0.951728;0.97
jul-26;C16-30;0.0;0.0
jul-26;C16-30H;0.0;0.0
jul-26;C16-35.5;0.434718;0.0
jul-26;C16-36;0.0;0.0
jul-26;C16-39;0.592758;0.0
jul-26;C18-23;30.069248;2.39
jul-26;C18-25;3.845578;50.26
jul-26;C18-25-COSC;91.049922;16.53
jul-26;C18-25H;0.0;0.0
jul-26;C18-29;0.0;3.46
jul-26;C18-29-COSC;0.098956;2.23
jul-26;C18-30;0.070799;0.0
jul-26;C18-30H;0.0;0.0
jul-26;C18-34;0.0;0.26
jul-26;C19-24;0.799446;0.0
jul-26;C19-25;0.0;40.8
jul-26;C19-29;0.0;10.73
jul-26;C19-34;0.200336;0.0
jul-26;C19-35;0.0;0.0
jul-26;C20-25;0.409588;8.79
jul-26;C20-29;0.0;0.0
jul-26;C20-30;1.576641;0.0
jul-26;C21;0.062407;0.0
jul-26;C22-25;0.182592;2.04
jul-26;C22-30;0.0;0.0
jul-26;C22-34;0.0;0.0
jul-26;C24-23;0.552902;0.0
jul-26;C8-25H;0.080334;0.0
jul-26;CMPC GC1;1.529676;0.0
